character,degree_full,weighted_degree_full,betweenness_full,closeness_full,pagerank_full,eigenvector_full,degree_no_central,weighted_degree_no_central,betweenness_no_central,closeness_no_central,pagerank_no_central,eigenvector_no_central,degree_rank_full,degree_rank_no_central,degree_rank_change,betweenness_rank_full,betweenness_rank_no_central,betweenness_rank_change,pagerank_rank_full,pagerank_rank_no_central,pagerank_rank_change,eigenvector_rank_full,eigenvector_rank_no_central,eigenvector_rank_change
Baseball Announcer 1,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Bashir bin Laden,0.009708737864077669,0.017543859649122806,0.0,0.2022386263339485,0.0036868244630381608,0.001805167432925768,0.00980392156862745,0.022222222222222223,0.0,0.16213507625272333,0.004440120044849241,0.0013526062474554152,53.0,51.0,2.0,44.0,40.0,4.0,64.0,61.0,3.0,60.0,51.0,9.0
Baz,0.029126213592233007,0.05263157894736842,0.0036720753810987974,0.2549049352750809,0.006467020604370158,0.02502392373539877,0.0196078431372549,0.044444444444444446,0.0,0.17371615312791786,0.00604718672500877,0.006031404626121179,29.0,37.0,-8.0,36.0,40.0,-4.0,46.0,52.0,-6.0,33.0,39.0,-6.0
Bearded Lady,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Becky,0.029126213592233007,0.05263157894736842,0.002237270312655808,0.20738028632548955,0.006765928717708552,0.013871271469161938,0.029411764705882353,0.06666666666666667,0.0022815726950846356,0.17882545174932718,0.008005479008703693,0.009591370197964121,29.0,26.0,3.0,39.0,33.0,6.0,43.0,43.0,0.0,52.0,35.0,17.0
Becky Shorter,0.16504854368932037,0.631578947368421,0.060155586212125335,0.2780781112091792,0.04928388088274656,0.4335639960133295,0.1568627450980392,0.7333333333333333,0.0989065923399063,0.24986569970453934,0.05457840914520977,0.46990294882017636,4.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0
Beezee,0.009708737864077669,0.017543859649122806,0.0,0.19895019338542902,0.0030934880156114177,0.020435465429913712,0.00980392156862745,0.022222222222222223,0.0,0.17708928231486767,0.0034965161478760502,0.02537149627614419,53.0,51.0,2.0,44.0,40.0,4.0,74.0,67.0,7.0,35.0,28.0,7.0
Before They Were Famous Host,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Belle,0.06796116504854369,0.12280701754385964,0.042250003365080446,0.2845450440279973,0.014626045905849693,0.04424760786674864,0.058823529411764705,0.13333333333333333,0.029223636649379218,0.22109328579916815,0.01671750967193112,0.029076626797402878,9.0,10.0,-1.0,7.0,13.0,-6.0,13.0,14.0,-1.0,20.0,25.0,-5.0
Bender Bending Rodríguez,0.019417475728155338,0.03508771929824561,0.0,0.19576699029126213,0.005331429683255246,0.003444498788140111,0.0196078431372549,0.044444444444444446,0.0,0.15861040068201193,0.006538860952050932,0.004009913707329881,45.0,37.0,8.0,44.0,40.0,4.0,56.0,49.0,7.0,57.0,45.0,12.0
